"id";"артикул";"Наименование";"Товар";"Фабрика";"Коллекция";"Тип";"Размер";"Ширина";"Длина";"Вес";"Шт";"М2";"ЕдИзм";"Линк";"Неликвид";"Цена1";"Цена2";"Цена3";"Цена4";"Цена5";"Цена6";"Цена7";"Цена8";"Цена9";"Цена10";"Цена11";"Акция";"Распродажа";"Новинка";"Материал";"Стиль";"Поверхность";"Назначение";"Цвет"
"321216";"+17642";"пол, District Denim 45, 45x45";"+17642 Плитка нап. керамич. DISTRICT DENIM 45, 45x45";"Colorker";"District";"пол";"45x45";"45";"45";"23,8";"5";"1";"м2";;"0";"2497,6";"2017,04";"2497,6";"1610,44";"1779,92";"1694,8";"1661,36";"1610,44";"1576,24";"1542,8";"1694,8";"0";"0";"1";"Керамическая плитка";"Камень";"матовая";"Плитка для ванной";"серый"
"321217";"+17643";"пол, District Taupe 45, 45x45";"+17643 Плитка нап. керамич. DISTRICT TAUPE 45, 45x45";"Colorker";"District";"пол";"45x45";"45";"45";"23,8";"5";"1";"м2";;"0";"2497,6";"2017,04";"2497,6";"1610,44";"1779,92";"1694,8";"1661,36";"1610,44";"1576,24";"1542,8";"1694,8";"0";"0";"1";"Керамическая плитка";"Камень";"матовая";"Плитка для ванной";"серый"
"321218";"+17644";"декор (мм), District Town Mix Decor 45, 45x45";"+17644 Декор керамич. DISTRICT TOWN MIX DECOR 45, 45x45";"Colorker";"District";"декор (мм)";"45x45";"45";"45";"23,8";"5";"1";"м2";;"0";"2497,6";"2017,04";"2497,6";"1610,44";"1779,92";"1694,8";"1661,36";"1610,44";"1576,24";"1542,8";"1694,8";"0";"0";"1";"Керамическая плитка";"Камень";"матовая";"Плитка для ванной";
"316632";"+14518";"плитка, Edda Grey, 30,5x60,5";"+14518 Плитка облиц. керамич. EDDA GREY, 30,5x60,5";"Colorker";"Edda";"плитка";"30,5x60,5";"30,5";"60,5";"20";"6";"1,1";"м2";;"0";"2766,4";"2233,64";"2766,4";"1783,72";"1971,44";"1877,2";"1839,96";"1783,72";"1746,48";"1708,48";"1877,2";"0";"0";"0";"Керамическая плитка";"Модерн";"глянцевая; структурированная";"Плитка для ванной";"серый"
"316633";"+14519";"декор, Dec.Breeze Grey, 30,5x60,5";"+14519 Декор керамич. DEC.BREEZE GREY, 30,5x60,5";"Colorker";"Edda";"декор";"30,5x60,5";"30,5";"60,5";"19,34";"6";"1,1072";"шт";;"0";"2150,4";"1736,6";"2150,4";"1386,24";"1532,16";"1459,2";"1430,32";"1386,24";"1357,36";"1328,48";"1459,2";"0";"0";"0";"Керамическая плитка";;;;
"316634";"+14520";"бордюр, L.Breeze Grey, 5,4x60,5";"+14520 Бордюр керамич. L.BREEZE GREY, 5,4x60,5";"Colorker";"Edda";"бордюр";"5,4x60,5";"5,4";"60,5";"6,86";"12";"0,392";"шт";;"0";"851,2";"687,04";"851,2";"548,72";"606,48";"577,6";"566,2";"548,72";"537,32";"525,92";"577,6";"0";"0";"0";"Керамическая плитка";;;;
"316635";"+14521";"декор, Dec.Pixel Grey,  30,5x60,5";"+14521 Декор керамич. DEC.PIXEL GREY,  30,5x60,5";"Colorker";"Edda";"декор";" 30,5x60,5";"30,5";"60,5";"12,8";"4";"0,7381";"шт";;"0";"1870,4";"1510,12";"1870,4";"1206,12";"1333,04";"1269,2";"1244,12";"1206,12";"1181,04";"1155,2";"1269,2";"0";"0";"0";"Керамическая плитка";;;;
"316636";"+14522";"бордюр, L.Pixel Grey,  4,5x60,5";"+14522 Бордюр керамич. L.PIXEL GREY,  4,5x60,5";"Colorker";"Edda";"бордюр";" 4,5x60,5";"4,5";"60,5";"7,8";"16";"0,4356";"шт";;"0";"851,2";"687,04";"851,2";"548,72";"606,48";"577,6";"566,2";"548,72";"537,32";"525,92";"577,6";"0";"0";"0";"Керамическая плитка";;;;
"316637";"+14523";"мозаика, MSC.Sphere Blue/White,  30X30";"+14523 мозаика MSC.SPHERE BLUE/WHITE,  30X30";"Colorker";"Edda";"мозаика";" 30X30";"30";"30";"14,1";"11";"0,99";"шт";;"0";"3505,6";"2831";"3505,6";"2260,24";"2498,12";"2378,8";"2331,68";"2260,24";"2212,36";"2165,24";"2378,8";"0";"0";"0";"Керамическая плитка";;;;
"316638";"+14524";"плитка, Edda Cream, 30,5x60,5";"+14524 Плитка облиц. керамич. EDDA CREAM, 30,5x60,5";"Colorker";"Edda";"плитка";"30,5x60,5";"30,5";"60,5";"20";"6";"1,1";"м2";;"0";"2766,4";"2233,64";"2766,4";"1783,72";"1971,44";"1877,2";"1839,96";"1783,72";"1746,48";"1708,48";"1877,2";"0";"0";"0";"Керамическая плитка";"Модерн";"глянцевая; структурированная";"Плитка для ванной";"бежевый"
"316639";"+14525";"плитка, Edda Country, 30,5x60,5";"+14525 Плитка облиц. керамич. EDDA COUNTRY, 30,5x60,5";"Colorker";"Edda";"плитка";"30,5x60,5";"30,5";"60,5";"20";"6";"1,1";"м2";;"0";"2766,4";"2233,64";"2766,4";"1783,72";"1971,44";"1877,2";"1839,96";"1783,72";"1746,48";"1708,48";"1877,2";"0";"0";"0";"Керамическая плитка";"Модерн";"глянцевая; структурированная";"Плитка для ванной";"коричневый"
"316640";"+14526";"декор, Dec.Breeze Country, 30,5x60,5";"+14526 Декор керамич. DEC.BREEZE COUNTRY, 30,5x60,5";"Colorker";"Edda";"декор";"30,5x60,5";"30,5";"60,5";"19,34";"6";"1,1072";"шт";;"0";"2150,4";"1736,6";"2150,4";"1386,24";"1532,16";"1459,2";"1430,32";"1386,24";"1357,36";"1328,48";"1459,2";"0";"0";"0";"Керамическая плитка";;;;
"316641";"+14527";"бордюр, L.Breeze Country, 5,4x60,5";"+14527 Бордюр керамич. L.BREEZE COUNTRY, 5,4x60,5";"Colorker";"Edda";"бордюр";"5,4x60,5";"5,4";"60,5";"6,86";"12";"0,392";"шт";;"0";"851,2";"687,04";"851,2";"548,72";"606,48";"577,6";"566,2";"548,72";"537,32";"525,92";"577,6";"0";"0";"0";"Керамическая плитка";;;;
"316642";"+14528";"декор, Dec.Pixel Country,  30,5x60,5";"+14528 Декор керамич. DEC.PIXEL COUNTRY,  30,5x60,5";"Colorker";"Edda";"декор";" 30,5x60,5";"30,5";"60,5";"12,8";"4";"0,7381";"шт";;"0";"1870,4";"1510,12";"1870,4";"1206,12";"1333,04";"1269,2";"1244,12";"1206,12";"1181,04";"1155,2";"1269,2";"0";"0";"0";"Керамическая плитка";;;;
"316643";"+14529";"бордюр, L.Pixel Country,  4,5x60,5";"+14529 Бордюр керамич. L.PIXEL COUNTRY,  4,5x60,5";"Colorker";"Edda";"бордюр";" 4,5x60,5";"4,5";"60,5";"7,8";"16";"0,4356";"шт";;"0";"851,2";"687,04";"851,2";"548,72";"606,48";"577,6";"566,2";"548,72";"537,32";"525,92";"577,6";"0";"0";"0";"Керамическая плитка";;;;
"316644";"+14530";"мозаика, MSC.Sphere Brown/Grey,  30X30";"+14530 мозаика MSC.SPHERE BROWN/GREY,  30X30";"Colorker";"Edda";"мозаика";" 30X30";"30";"30";"14,1";"11";"0,99";"шт";;"0";"3505,6";"2831";"3505,6";"2260,24";"2498,12";"2378,8";"2331,68";"2260,24";"2212,36";"2165,24";"2378,8";"0";"0";"0";"Керамическая плитка";;;;
"316631";"+14531";"плитка, Edda Ice, 30,5x60,5";"+14531 Плитка облиц. керамич. EDDA ICE, 30,5x60,5";"Colorker";"Edda";"плитка";"30,5x60,5";"30,5";"60,5";"20";"6";"1,1";"м2";;"0";"2766,4";"2233,64";"2766,4";"1783,72";"1971,44";"1877,2";"1839,96";"1783,72";"1746,48";"1708,48";"1877,2";"0";"0";"0";"Керамическая плитка";"Модерн";"глянцевая; структурированная";"Плитка для ванной";"белый"
"298351";"+3848";"пол, Forma Azul, 31,6x31,6";"+3848 Плитка нап. керамич. FORMA AZUL, 31,6x31,6";"Colorker";"Forma";"пол";"31,6x31,6";"31,6";"31,6";"21,75";"12";"1,2";"м2";;"1";"1459,2";"1386,24";"2374,4";"1155,2";"1386,24";"1155,2";"1155,2";"1155,2";"1155,2";"1155,2";"1155,2";"0";"1";"0";"Керамическая плитка";;;;
